# {"t_start": 1567929268.6531463, "env_id": "PickbotReachOrientDoorHandle-v5"} 
r,l,t
0,16,6755.856619
0,46,6768.042274
1,2,6771.904737
0,27,6779.440825
0,23,6788.386861
1,2,6792.341019
1,23,6799.873216
0,8,6804.626941
0,12,6808.042016
0,29,6816.707798
0,26,6824.843335
0,11,6830.137856
0,38,6839.439117
0,9,6847.996476
0,19,6854.763733
0,16,6861.141833
1,2,6864.949676
0,22,6869.92922
0,4,6871.804999
0,37,6879.976777
0,2,6883.542619
0,35,6893.684768
0,22,6901.170309
0,56,6914.978037
0,19,6919.684867
0,12,6925.05821
0,27,6933.406877
0,18,6941.286312
0,28,6947.461665
0,46,6959.501344
0,38,6970.072139
0,33,6979.653717
0,23,6986.253111
0,39,6995.494314
0,21,7003.422815
0,37,7013.590532
0,44,7025.321185
0,16,7031.419871
0,20,7038.391941
0,3,7043.73037
0,24,7052.304656
1,2,7055.9197
0,11,7059.835785
1,2,7063.617077
0,37,7073.988889
0,37,7085.135513
0,2,7088.794023
0,43,7100.265465
1,2,7103.956539
0,33,7112.064004
0,4,7114.64355
1,2,7118.566298
1,2,7122.138033
0,500,7388.065909
0,18,7392.413928
0,28,7401.112118
1,1,7403.520946
0,2,7404.549726
1,2,7408.351947
1,2,7412.509478
0,38,7423.100101
0,20,7429.537981
1,2,7433.54224
0,9,7435.966546
1,2,7439.451019
0,52,7452.717385
0,26,7461.024213
0,31,7470.320425
1,2,7473.886151
0,37,7484.482887
0,32,7491.685521
0,22,7498.920821
0,15,7504.86708
0,11,7510.78402
0,28,7519.502509
0,14,7523.101934
0,39,7533.730878
0,36,7543.963622
0,8,7547.496769
0,44,7558.973463
0,18,7563.813409
0,35,7573.594059
0,38,7583.672298
0,16,7589.89882
0,28,7598.39765
0,28,7604.907983
0,31,7613.492471
0,39,7624.362909
0,46,7636.927923
0,38,7647.502277
0,20,7654.863114
0,49,7666.160594
1,2,7670.155014
0,8,7672.359442
0,1,7673.145051
0,15,7679.249052
0,47,7692.421385
0,12,7697.932616
0,37,7708.151562
0,30,7716.950776
0,32,7726.077558
0,31,7734.286963
1,1,7736.764245
1,28,7745.018026
1,2,7748.827446
1,2,7752.792304
1,22,7760.483111
0,42,7770.638235
1,2,7774.568074
0,34,7784.610312
0,14,7790.432417
0,39,7801.130409
0,32,7810.394726
0,48,7823.09108
0,4,7825.039628
0,35,7834.906639
0,7,7837.328589
0,42,7847.71047
0,26,7854.748518
0,33,7862.374305
0,38,7872.669139
0,38,7883.161972
