# {"env_id": "PickbotPickContinuousDoorHandle-v0", "t_start": 1560348626.379589} 
r,l,t
-2.987595,1,379.873546
-3.007472,1,380.459898
-3.087482,1,381.077592
-2.95463,1,381.658646
-3.145805,1,382.221863
-2.972064,1,382.792815
-2.975644,1,383.349382
-3.043357,1,383.925911
-2.952073,1,384.548973
-3.030405,1,385.115688
-2.963427,1,385.683532
-3.020092,1,386.2576
-3.05883,1,386.812752
-2.989418,1,387.386075
-2.984444,1,387.942293
-2.976517,1,388.505787
-2.938417,1,389.070125
-2.946969,1,389.652486
-3.03054,1,390.232276
-3.024904,1,390.809529
-3.384247,1,391.362631
-3.048983,1,391.928221
-3.011298,1,392.493066
-2.997218,1,393.082108
-3.083408,1,393.674026
-3.026208,1,394.242498
-3.182165,1,394.802902
-3.000616,1,395.434302
-3.19661,1,395.985298
-3.004568,1,396.619135
-3.39358,1,397.224086
-3.008479,1,397.778479
-2.995847,1,398.336169
-2.882671,1,398.903178
-2.983378,1,399.511345
-3.02121,1,400.051812
-3.031973,1,400.615807
-3.217981,1,401.171699
-2.968556,1,401.728922
-3.005021,1,402.313916
-3.027722,1,402.933303
-3.121882,1,403.477558
-2.967319,1,404.050588
-2.973296,1,404.623637
-3.125378,1,405.210016
-3.072864,1,405.786739
-2.967517,1,406.362612
-3.166707,1,406.972936
-2.97653,1,407.548663
-2.942077,1,408.114074
-3.0379,1,408.694081
-3.081502,1,409.284257
-3.118959,1,409.835229
-2.998288,1,410.389049
-3.042597,1,410.945238
-2.977429,1,411.497216
-3.042511,1,412.079611
-3.200641,1,412.662905
-3.149483,1,413.203687
-3.041008,1,413.799016
-3.167167,1,414.379556
-2.922289,1,414.969657
-2.999419,1,415.558111
-2.949418,1,416.133366
-2.981689,1,416.700254
-3.23018,1,417.251099
-3.020558,1,417.851197
-3.082828,1,418.406854
-3.109961,1,418.984424
-3.199477,1,419.54377
-3.212847,1,420.147777
-2.98256,1,420.714357
-3.14151,1,421.261017
-2.981137,1,421.858479
-3.002291,1,422.415258
-3.047905,1,422.975672
-2.883686,1,423.546462
-3.130901,1,424.137139
-3.083075,1,424.733352
-3.019935,1,425.300366
-2.963482,1,425.897197
-3.043943,1,426.479801
-2.875031,1,427.07621
-3.148962,1,427.621193
-3.092316,1,428.197313
-3.058682,1,428.750171
-3.195935,1,429.319687
-3.036759,1,429.874433
-3.118395,1,430.438536
-2.9871,1,431.019176
-3.165317,1,431.575834
-3.027832,1,432.139154
-3.111599,1,432.753664
-3.012165,1,433.326184
-2.988656,1,433.921862
-3.238508,1,434.473716
-3.185755,1,435.050256
-3.092904,1,435.631959
-3.354507,1,436.205424
-2.973448,1,436.791051
-3.015155,1,437.343454
-3.016686,1,437.91542
-3.093419,1,438.470574
-3.057644,1,439.037433
-2.999905,1,439.600562
-3.036753,1,440.186125
-2.981601,1,440.735363
-3.051538,1,441.341699
-2.923066,1,441.897673
-2.982112,1,442.478622
-2.960155,1,443.066069
-3.157843,1,443.617919
-3.149852,1,444.174035
-2.981404,1,444.73728
-2.994335,1,445.326526
-2.975142,1,445.926855
-3.209387,1,446.496688
-3.139182,1,447.144793
-2.966643,1,447.712322
-3.161654,1,448.274642
-3.121846,1,448.829542
-3.055826,1,449.377362
-3.017996,1,449.935411
-3.020874,1,450.496193
-2.9148,1,451.069381
-3.062233,1,451.631567
-3.31079,1,452.196861
-2.971878,1,452.787491
-3.123553,1,453.346534
-3.02797,1,453.931621
-3.067535,1,454.491819
-3.055297,1,455.051197
-2.971776,1,455.628367
-3.037965,1,456.186378
-3.080525,1,456.767945
-2.993571,1,457.34695
-2.973568,1,457.919669
-3.022802,1,458.520261
-2.993315,1,459.08416
-3.174802,1,459.636132
-3.088286,1,460.193118
-3.002257,1,460.743824
-3.391177,1,461.272233
-3.159352,1,461.858075
-2.980932,1,462.439696
-3.202428,1,462.994075
-2.989295,1,463.555485
-3.182171,1,464.106931
-2.974196,1,464.675048
-3.133325,1,465.248914
-3.027603,1,465.804996
-3.161664,1,466.386883
-2.968399,1,466.956229
-3.029105,1,467.51291
-3.009346,1,468.087961
-3.079904,1,468.641622
-2.98707,1,469.189334
-3.262824,1,469.731154
-3.086767,1,470.314731
-3.116759,1,470.879957
-3.383178,1,471.430787
-3.166067,1,471.984665
-3.043109,1,472.549274
-3.195728,1,473.101445
-3.022146,1,473.68684
-3.032653,1,474.287933
-3.081572,1,474.847827
-3.067052,1,475.488615
-3.10785,1,476.088526
-3.065991,1,476.664756
-3.013928,1,477.226734
-3.126294,1,477.790329
-3.107822,1,478.383894
-3.074248,1,478.943547
-3.148534,1,479.497988
-2.913622,1,480.097922
-2.936219,1,480.667651
-2.985591,1,481.260347
-3.044431,1,481.813272
-3.214755,1,482.399638
-3.00919,1,482.968119
-2.979769,1,483.544076
-3.003583,1,484.114805
