entloss,entropy,eplenmean,eprewmean,eprewsem,epsofar,epthisiter,ev_tdlam_before,meankl,optimgain,surrgain,timelapsed,timestepsofar
-0.0,-8.444378,1.0,-2.9634094,0.009213963,554980,1024,-0.00010800361633300781,0.0010300679,0.0015245583,0.0015245583,318549.5382795334,555008
-0.0,-8.44416,1.0,-2.9591336,0.013245312,556004,1024,-2.396106719970703e-05,0.0009798463,0.0018586311,0.0018586311,319139.4982254505,556032
-0.0,-8.443977,1.0,-2.9607284,0.010565696,557028,1024,3.153085708618164e-05,0.0009970227,0.0028010989,0.0028010989,319730.3719778061,557056
-0.0,-8.446572,1.0,-2.9617717,0.011951832,558052,1024,-3.1113624572753906e-05,0.0010067507,0.0014044251,0.0014044251,320320.077149868,558080
-0.0,-8.473142,1.0,-2.9602141,0.010704091,559076,1024,0.0001150369644165039,0.00096954446,0.0031679096,0.0031679096,320907.8826549053,559104
-0.0,-8.474792,1.0,-2.9627976,0.012169506,560100,1024,-3.5643577575683594e-05,0.0010007464,0.003266964,0.003266964,321495.8385949135,560128
-0.0,-8.481068,1.0,-2.963317,0.008417855,561124,1024,-0.00011086463928222656,0.0010138403,0.0023983638,0.0023983638,322084.0120100975,561152
-0.0,-8.482171,1.0,-2.963639,0.01111257,562148,1024,0.00012028217315673828,0.0009988184,0.0017991792,0.0017991792,322674.2042014599,562176
-0.0,-8.483631,1.0,-2.9609845,0.009294555,563172,1024,-3.457069396972656e-05,0.001001485,0.004378508,0.004378508,323263.92480516434,563200
-0.0,-8.488976,1.0,-2.9628713,0.0114125125,564196,1024,1.9550323486328125e-05,0.0010107745,0.002168715,0.002168715,323853.01267290115,564224
-0.0,-8.488084,1.0,-2.961651,0.010631821,565220,1024,-5.3882598876953125e-05,0.0010041331,0.0018465202,0.0018465202,324443.38514089584,565248
-0.0,-8.490367,1.0,-2.9618576,0.012057544,566244,1024,0.0,0.001004403,0.0020269407,0.0020269407,325035.16305589676,566272
-0.0,-8.495296,1.0,-2.9615085,0.010912512,567268,1024,9.173154830932617e-05,0.0010043073,0.0025349092,0.0025349092,325624.50114297867,567296
-0.0,-8.484547,1.0,-2.961536,0.011015142,568292,1024,3.415346145629883e-05,0.000989975,0.003970781,0.003970781,326213.96527791023,568320
-0.0,-8.4844885,1.0,-2.9640622,0.010503776,569315,1023,0.19668471813201904,0.00013931992,inf,inf,326804.7663195133,569344
-0.0,-8.488294,1.0,-2.9607263,0.011783345,570339,1024,-4.7206878662109375e-05,0.0009981777,0.0027065813,0.0027065813,327393.7030041218,570368
-0.0,-8.505473,1.0,-2.9596448,0.011222961,571363,1024,5.245208740234375e-06,0.0010024889,0.0028908472,0.0028908472,327980.5383608341,571392
-0.0,-8.508601,1.0,-2.9629016,0.011813862,572387,1024,-1.1205673217773438e-05,0.0010087821,0.0010570269,0.0010570269,328572.389572382,572416
-0.0,-8.508022,1.0,-2.9630892,0.013810278,573411,1024,-1.5854835510253906e-05,0.0010015722,0.0006333543,0.0006333543,329160.73004460335,573440
-0.0,-8.508141,1.0,-2.9636168,0.00908385,574434,1023,0.1976454257965088,0.0005539127,0.00025346805,0.00025346805,329752.95963716507,574464
-0.0,-8.526642,1.0,-2.9617836,0.010278483,575458,1024,-1.8358230590820312e-05,0.0009937163,0.002709563,0.002709563,330343.8279182911,575488
-0.0,-8.526192,1.0,-2.96116,0.010066375,576482,1024,-6.175041198730469e-05,0.0009907415,0.0017970256,0.0017970256,330932.6664726734,576512
-0.0,-8.534411,1.0,-2.9612365,0.009008403,577506,1024,-8.761882781982422e-05,0.0010027422,0.0030770754,0.0030770754,331523.5644543171,577536
-0.0,-8.533744,1.0,-2.9598649,0.011477965,578530,1024,5.137920379638672e-05,0.0010000078,0.0040420666,0.0040420666,332112.7721083164,578560
