# {"env_id": "PickbotReachOrientDoorHandle-v5", "t_start": 1567723370.4598494} 
r,l,t
0,38,3227.730712
0,4,3231.510439
1,2,3234.947258
0,23,3241.106001
0,27,3248.301705
0,16,3253.361289
1,2,3257.038693
0,17,3261.453674
0,34,3269.786202
0,16,3273.996243
0,41,3284.846802
0,35,3294.903524
0,2,3298.334845
0,41,3309.473466
0,16,3313.658167
1,2,3317.311384
0,26,3325.809033
1,1,3328.42257
1,2,3332.346589
0,28,3341.040879
0,44,3352.65617
0,11,3357.841054
1,2,3361.410123
0,42,3372.389401
1,2,3376.198745
0,41,3387.140318
0,53,3400.350885
1,2,3404.224448
0,16,3410.372807
0,16,3414.807953
0,41,3425.66643
1,2,3429.211252
0,8,3433.820252
0,44,3445.16859
0,29,3452.457983
0,16,3458.727644
0,39,3467.196503
0,16,3473.436773
0,34,3482.840469
1,1,3485.282481
1,28,3493.392695
0,23,3499.344934
0,42,3510.416065
1,2,3514.294943
0,35,3524.102194
0,26,3532.020978
1,2,3535.468749
0,44,3546.238178
0,36,3555.977178
0,16,3561.464065
0,29,3569.917323
1,2,3573.602651
0,29,3580.181484
0,28,3588.396383
1,2,3592.191404
0,16,3598.390855
0,2,3601.850702
0,25,3608.770346
0,16,3614.988867
0,13,3620.541072
0,33,3629.29335
1,2,3632.898027
0,41,3643.560883
1,2,3647.60342
0,36,3658.209655
0,25,3666.210263
1,2,3669.744233
0,37,3679.685402
0,4,3681.822751
0,18,3687.058826
0,37,3697.558214
0,6,3699.464461
0,38,3708.374268
0,38,3718.76411
0,22,3726.081948
1,26,3734.34321
0,2,3735.771735
1,2,3739.236531
0,30,3747.872778
0,16,3754.11081
0,40,3764.701053
0,16,3769.439511
1,2,3772.972842
1,2,3776.859317
0,6,3778.615418
0,27,3786.484754
0,11,3791.591703
0,43,3802.6419
0,18,3807.003488
0,36,3815.427008
0,35,3823.238359
0,14,3829.029851
0,6,3831.59181
1,2,3835.22619
0,3,3836.960166
0,2,3840.339887
0,51,3851.310408
0,51,3863.997239
0,17,3870.354138
0,35,3879.823913
0,12,3883.983307
0,28,3892.594959
0,8,3895.032423
0,19,3900.410507
0,24,3907.999035
0,44,3919.323056
0,46,3931.299985
0,42,3942.268872
0,42,3953.001838
1,2,3956.596813
1,2,3960.09316
0,48,3973.677101
0,21,3981.030941
0,41,3991.918197
0,43,4003.007186
0,47,4014.7076
0,14,4020.570345
0,16,4026.581124
0,16,4032.765257
1,2,4036.266607
0,2,4039.815307
0,13,4045.281108
0,11,4048.521464
0,2,4051.972617
0,45,4063.429173
0,21,4070.229586
0,39,4080.750199
0,28,4089.212381
0,2,4092.684061
0,32,4099.946125
0,33,4108.125982
0,20,4115.121494
0,16,4121.324595
1,2,4124.833593
0,16,4130.20532
0,4,4131.609822
0,36,4141.626512
0,34,4151.052274
0,28,4159.492849
0,16,4165.565594
1,2,4169.737937
0,25,4178.743332
0,41,4189.599911
0,28,4197.255769
0,16,4202.775459
0,17,4209.07209
1,2,4212.51792
0,11,4215.598719
0,31,4224.591227
0,18,4230.97155
0,1,4233.165196
0,28,4241.203511
0,21,4248.379169
1,2,4252.302344
1,2,4255.859159
0,32,4263.634104
0,30,4270.462933
0,17,4274.410997
0,23,4282.025379
0,30,4289.76217
0,44,4301.001755
0,26,4309.028316
0,31,4318.205476
0,48,4330.346183
0,40,4339.014386
0,14,4344.583079
0,32,4354.134665
0,32,4363.246855
1,1,4365.654362
0,2,4366.704481
0,21,4374.911033
0,24,4380.008537
1,2,4383.729736
0,28,4392.907742
0,9,4397.671407
0,25,4405.242353
0,22,4411.277309
1,1,4413.651927
1,2,4417.474942
0,16,4423.745007
1,2,4427.79125
0,30,4436.695757
0,28,4445.130053
0,32,4454.106343
1,2,4457.596782
0,45,4468.859344
0,26,4475.951976
0,21,4482.9243
0,45,4494.333811
0,41,4505.09949
0,43,4516.584175
1,2,4520.41846
0,1,4522.457527
